policy,objective,overlap_threshold,delta_rel,runtime_s,joint_stages,joint_blocks,joint_stage_depth,joint_range_entries,joint_ternary_entries,joint_codeword_length,joint_register_depth,joint_register_count,joint_register_sram_bits,joint_range_depth,joint_ternary_depth,joint_range_tables,joint_ternary_tables,counterfactual_disjoint_stages,counterfactual_disjoint_blocks,counterfactual_disjoint_stage_depth,counterfactual_disjoint_range_entries,counterfactual_disjoint_ternary_entries,counterfactual_disjoint_codeword_length,counterfactual_disjoint_register_depth,counterfactual_disjoint_register_count,counterfactual_disjoint_register_sram_bits,counterfactual_disjoint_range_depth,counterfactual_disjoint_ternary_depth,counterfactual_disjoint_range_tables,counterfactual_disjoint_ternary_tables,blocks,stages,codeword_length,acc_app,f1_app,acc_ddos,f1_ddos,source_arm,M,split,k,align_attempted,align_accepted,align_intervals_before,align_codeword_before,align_codeword_floor,align_rolled_back,align_key_bytes_before,align_key_bytes_floor,align_ternary_stages_before,align_stage_target,align_bits_to_reach,align_intervals_after,align_codeword_after,align_key_bytes_after,align_ternary_stages_after,align_spent_budget
aligned,blocks,0.5,0.2,0.0492951869964599,5,29,7,530,223,166,4,16,1048576,5,7,13,4,6,37,8,712,223,114,4,16,1048576,6,8,25,4,29,5,166,0.7179236043095005,0.7188011569269653,0.9746666666666668,0.974659627674354,joint-d020,100,10,13,27.0,27.0,211.0,198.0,125.0,False,32.0,21.0,2.0,16.0,,179.0,166.0,26.0,2.0,True
none,blocks,0.5,0.2,0.0,7,45,9,830,292,262,4,20,1310720,5,9,17,4,8,51,10,899,292,226,4,20,1310720,7,10,32,4,45,7,262,0.7149853085210578,0.716148181748909,0.9803333333333332,0.980331233146117,joint-d020,100,10,17,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0195705890655517,7,41,9,804,292,251,4,20,1310720,5,9,17,4,8,51,10,907,292,226,4,20,1310720,7,10,32,4,41,7,251,0.7144955925563173,0.715659602329393,0.98,0.9799977241855072,joint-d020,100,10,17,12.0,8.0,279.0,262.0,230.0,False,40.0,38.0,4.0,32.0,,268.0,251.0,40.0,4.0,True
none,blocks,0.5,0.2,0.0,3,22,6,318,217,177,3,2,131072,4,6,2,4,2,16,5,376,217,95,3,2,131072,4,5,4,4,22,3,177,0.7419196865817825,0.7422564839596654,0.9526666666666668,0.9526513256961924,joint-d020,150,10,2,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0314993858337402,3,18,6,283,217,151,3,2,131072,4,6,2,4,2,16,5,385,217,95,3,2,131072,4,5,4,4,18,3,151,0.738001958863859,0.7383003120662838,0.9526666666666668,0.9526513256961924,joint-d020,150,10,2,19.0,19.0,179.0,177.0,95.0,False,23.0,13.0,2.0,16.0,49.0,153.0,151.0,20.0,2.0,True
none,blocks,0.5,0.2,0.0,8,71,10,799,539,460,3,5,327680,4,10,5,6,6,46,8,894,539,400,3,5,327680,4,8,10,6,71,8,460,0.7957884427032321,0.7973863717713818,0.959,0.9589605610992163,joint-d020,150,10,5,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0569684505462646,8,65,10,755,539,433,3,5,327680,4,10,5,6,6,46,8,904,539,400,3,5,327680,4,8,10,6,65,8,433,0.795543584720862,0.7971434934582019,0.9593333333333334,0.959295052591682,joint-d020,150,10,5,20.0,20.0,465.0,460.0,400.0,False,60.0,53.0,6.0,32.0,,438.0,433.0,56.0,6.0,True
none,blocks,0.5,0.2,0.0,7,37,9,735,305,270,4,12,786432,5,9,9,4,5,35,7,808,305,210,4,12,786432,5,7,18,4,37,7,270,0.7757100881488737,0.7777614076237463,0.9786666666666668,0.9786642391312078,joint-d020,150,10,9,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0354096889495849,7,33,9,677,305,245,4,12,786432,5,9,9,4,5,35,7,824,305,210,4,12,786432,5,7,18,4,33,7,245,0.7761998041136141,0.7781695201252631,0.9753333333333334,0.975329375068622,joint-d020,150,10,9,18.0,18.0,279.0,270.0,212.0,False,37.0,30.0,4.0,32.0,19.0,254.0,245.0,34.0,4.0,True
aligned,blocks,0.5,0.2,0.0705173015594482,9,73,11,1103,554,409,4,16,1048576,5,11,13,6,9,62,11,1385,554,283,4,16,1048576,6,11,26,6,73,9,409,0.7845249755142018,0.7859803287655655,0.9836666666666668,0.9836665196653436,joint-d020,150,10,13,34.0,34.0,467.0,454.0,304.0,False,65.0,44.0,6.0,32.0,,422.0,409.0,56.0,6.0,True
none,blocks,0.5,0.2,0.0,7,37,9,709,249,216,4,20,1310720,5,9,17,4,7,47,9,790,249,167,4,20,1310720,7,9,33,4,37,7,216,0.7333496571988247,0.7339333197448449,0.9833333333333332,0.983332859245774,joint-d020,150,10,17,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0691878795623779,5,37,7,666,249,199,4,20,1310720,5,7,17,4,7,47,9,802,249,167,4,20,1310720,7,9,33,4,37,5,199,0.7338393731635652,0.7346175866237079,0.9826666666666668,0.9826662891769644,joint-d020,150,10,17,19.0,14.0,233.0,216.0,170.0,True,35.0,31.0,4.0,32.0,5.0,216.0,199.0,32.0,2.0,False
none,blocks,0.5,0.2,0.0,7,62,10,604,529,400,3,2,131072,4,10,2,6,4,31,7,709,529,286,3,2,131072,4,7,4,6,62,7,400,0.7328599412340843,0.7340641881201313,0.9526666666666668,0.9526513256961924,joint-d020,250,10,2,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0672039985656738,7,56,10,562,529,366,3,2,131072,4,10,2,6,4,31,7,712,529,286,3,2,131072,4,7,4,6,56,7,366,0.7331047992164544,0.7342942789802482,0.9526666666666668,0.9526513256961924,joint-d020,250,10,2,27.0,27.0,402.0,400.0,286.0,False,51.0,37.0,6.0,32.0,,368.0,366.0,46.0,6.0,True
none,blocks,0.5,0.2,0.0,8,59,10,657,467,363,3,5,327680,4,10,5,6,5,36,7,774,467,226,3,5,327680,4,7,10,6,59,8,363,0.7835455435847208,0.784426019661134,0.9703333333333334,0.9703325916481246,joint-d020,250,10,5,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0673127174377441,8,53,10,599,467,321,3,5,327680,4,10,5,6,5,36,7,775,467,226,3,5,327680,4,7,10,6,53,8,321,0.7806072477962782,0.781587157714206,0.9673333333333334,0.967333202666144,joint-d020,250,10,5,33.0,33.0,368.0,363.0,226.0,False,48.0,30.0,6.0,32.0,107.0,326.0,321.0,42.0,6.0,True
none,blocks,0.5,0.2,0.0,7,37,9,762,338,287,4,11,720896,5,9,9,4,5,34,7,872,338,158,4,11,720896,5,7,18,4,37,7,287,0.7588148873653281,0.7598886137876552,0.9783333333333334,0.9783303838578028,joint-d020,250,10,9,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0759589672088623,7,33,9,669,338,236,4,11,720896,5,9,9,4,5,34,7,891,338,158,4,11,720896,5,7,18,4,33,7,236,0.747796278158668,0.7489516723541754,0.9783333333333334,0.9783303838578028,joint-d020,250,10,9,42.0,42.0,296.0,287.0,185.0,False,39.0,27.0,4.0,32.0,35.0,245.0,236.0,33.0,4.0,True
none,blocks,0.5,0.2,0.0,5,29,7,458,169,147,4,16,1048576,5,7,13,4,6,37,8,534,169,100,4,16,1048576,6,8,26,4,29,5,147,0.7262487757100882,0.7240668107642266,0.9786666666666668,0.9786653012459464,joint-d020,250,10,13,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0514798164367675,5,25,7,404,169,127,4,16,1048576,5,7,13,4,6,37,8,552,169,100,4,16,1048576,6,8,26,4,25,5,127,0.7154750244857982,0.7107535100952159,0.978,0.9779988168252602,joint-d020,250,10,13,29.0,15.0,160.0,147.0,102.0,False,26.0,21.0,2.0,16.0,,140.0,127.0,23.0,2.0,True
none,blocks,0.5,0.2,0.0,5,33,7,496,170,150,4,20,1310720,5,7,17,4,7,44,9,560,170,111,4,20,1310720,7,9,33,4,33,5,150,0.7208619000979432,0.7205458050650526,0.9763333333333334,0.9763253760291656,joint-d020,250,10,17,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0793750286102294,5,33,7,444,170,134,4,20,1310720,5,7,17,4,7,44,9,563,170,111,4,20,1310720,7,9,33,4,33,5,134,0.7218413320274241,0.7216055192554608,0.9756666666666668,0.9756578791610436,joint-d020,250,10,17,20.0,13.0,167.0,150.0,115.0,True,27.0,22.0,2.0,16.0,,151.0,134.0,25.0,2.0,False
aligned,stages,0.5,0.2,0.0399038791656494,2,8,5,191,113,94,3,2,131072,4,5,2,2,2,7,5,240,113,68,3,2,131072,4,5,4,2,8,2,94,0.7365328109696376,0.7373854133040794,0.949,0.9489913795431428,joint-d020,25,10,2,14.0,4.0,102.0,100.0,68.0,True,14.0,9.0,1.0,,,96.0,94.0,12.0,1.0,False
aligned,stages,0.5,0.2,0.0572178363800048,4,25,7,416,219,176,4,6,393216,5,7,5,4,4,23,7,476,219,169,4,6,393216,5,7,10,4,25,4,176,0.7566111655239961,0.7578490943232825,0.9613333333333334,0.961323432131959,joint-d020,25,10,5,13.0,7.0,191.0,186.0,169.0,True,25.0,23.0,2.0,16.0,,181.0,176.0,24.0,2.0,False
